,Company Name,Ticker
0,Agilent Technologies Inc. Common Stock,A
1,Alcoa Corporation Common Stock ,AA
2,Ares Acquisition Corporation Class A Ordinary Shares,AAC
3,ATA Creativity Global American Depositary Shares,AACG
4,Armada Acquisition Corp. I Unit,AACIU
5,Aadi Bioscience Inc. Common Stock,AADI
6,Arlington Asset Investment Corp Class A (new),AAIC
7,Arlington Asset Investment Corp 7.00% ,AAIC^B
8,Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock   ,AAIC^C
9,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026,AAIN
10,American Airlines Group Inc. Common Stock,AAL
11,Altisource Asset Management Corp Com,AAMC
12,Atlantic American Corporation Common Stock,AAME
13,Aarons Holdings Company Inc. Common Stock ,AAN
14,Applied Optoelectronics Inc. Common Stock,AAOI
15,AAON Inc. Common Stock,AAON
16,Advance Auto Parts Inc.,AAP
17,Apple Inc. Common Stock,AAPL
18,Accelerate Acquisition Corp. Class A Common Stock,AAQC
19,American Assets Trust Inc. Common Stock,AAT
20,Autoscope Technologies Corporation Common Stock,AATC
21,Almaden Minerals Ltd. Common Shares,AAU
22,Atlas Air Worldwide Holdings NEW Common Stock,AAWW
23,AllianceBernstein Holding L.P.  Units,AB
24,ABB Ltd Common Stock,ABB
25,AbbVie Inc. Common Stock,ABBV
26,AmerisourceBergen Corporation Common Stock,ABC
27,Ameris Bancorp Common Stock,ABCB
28,AbCellera Biologics Inc. Common Shares,ABCL
29,Abcam plc American Depositary Shares,ABCM
30,Abeona Therapeutics Inc. Common Stock,ABEO
31,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),ABEV
32,Asbury Automotive Group Inc Common Stock,ABG
33,ABG Acquisition Corp. I Class A Ordinary Shares,ABGI
34,ARCA biopharma Inc. Common Stock,ABIO
35,ABM Industries Incorporated Common Stock,ABM
36,ABIOMED Inc. Common Stock,ABMD
37,Airbnb Inc. Class A Common Stock,ABNB
38,Acumen Pharmaceuticals Inc. Common Stock,ABOS
39,Arbor Realty Trust Common Stock,ABR
40,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,ABR^D
41,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,ABR^E
42,Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share,ABR^F
43,Absci Corporation Common Stock,ABSI
44,Absolute Software Corporation Common Stock,ABST
45,Abbott Laboratories Common Stock,ABT
46,Allegiance Bancshares Inc. Common Stock,ABTX
47,Arbutus Biopharma Corporation Common Stock,ABUS
48,ABVC Biopharma Inc. Common Stock,ABVC
49,Associated Capital Group Inc. Common Stock,AC
50,Arcosa Inc. Common Stock ,ACA
51,ACADIA Pharmaceuticals Inc. Common Stock,ACAD
52,Atlantic Coastal Acquisition Corp. Class A Common Stock,ACAH
53,Atlantic Coastal Acquisition Corp. Unit,ACAHU
54,Atlantic Coastal Acquisition Corp. Warrant,ACAHW
55,Aurora Cannabis Inc. Common Shares,ACB
56,Ace Global Business Acquisition Limited Ordinary Shares,ACBA
57,Ace Global Business Acquisition Limited Warrant,ACBAW
